Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Transportation Services,Don Mills Crossing Bridge,2022 Submision, -   , -   ,4500.00, -   , -   , -   , -   , -   , -   , -   ,4500.00,16,Don Valley East,Growth Related 
Transportation Services,Don Valley Parkway Rehabilitation, 2020 Adjustment Commitments,2558.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2558.00,CW,City Wide,State of Good Repair 
Transportation Services,Don Valley Parkway Rehabilitation, 2021 Adjustment Commitments, -   ,2558.00, -   , -   , -   , -   , -   , -   , -   , -   ,2558.00,CW,City Wide,State of Good Repair 
Transportation Services,Don Valley Parkway Rehabilitation, 2022 Adjustment Commitments,-1558.00, -   ,2558.00,2558.00, -   , -   , -   , -   , -   , -   ,3558.00,CW,City Wide,State of Good Repair 
Transportation Services,Don Valley Parkway Rehabilitation,2018 Don Valley Future 2018 - 2027, -   , -   , -   , -   ,2558.00,2558.00,2558.00,2558.00,2558.00,2558.00,15348.00,CW,City Wide,State of Good Repair 
Transportation Services,Dufferin Street Bridge Rehabilitation,2018 to 2023 Accelerated Cash Flow , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Transportation Services,Dufferin Street Bridge Rehabilitation,2022 Commitment Adjustment,1080.00,1080.00,492.00,182.00,567.00, -   , -   , -   , -   , -   ,3401.00,CW,City Wide,State of Good Repair 
Transportation Services,Dunn and Dowling Bridges,2022 Submision, -   ,1500.00, -   , -   , -   , -   , -   , -   , -   , -   ,1500.00,4,Parkdale-High Park,State of Good Repair 
Transportation Services,Eglinton Connects LRT, 2020 Adjustment Commitments,6000.00,9000.00, -   , -   , -   , -   , -   , -   , -   , -   ,15000.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Eglinton Connects LRT, 2022 Adjustment Commitments,-6000.00,6000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Emery Village Improvements,2020 Detailed Design and Yard Reconstruction,696.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,696.00,CW,City Wide,Growth Related 
Transportation Services,Emery Village Improvements,2021 Adjustment Commitments,854.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,854.00,CW,City Wide,Growth Related 
Transportation Services,Emery Village Improvements,2022 Commitment Adjustment,-1550.00,1550.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Growth Related 
Transportation Services,Engineering Studies, 2018 to 2027 Engineering Studies, -   , -   , -   , -   , -   ,3038.00, -   , -   , -   , -   ,3038.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Engineering Studies,2019 Adjustment Commitmnets,5038.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5038.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Engineering Studies,2021 Adjustment Commitments, -   ,3038.00,3038.00, -   , -   , -   , -   , -   , -   , -   ,6076.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Engineering Studies,2022 Commitment Adjustment,-1000.00,1000.00, -   ,3038.00,3038.00, -   , -   , -   , -   , -   ,6076.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Engineering Studies,Broadview 2022 Adjustments,-750.00,750.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Engineering Studies,Broadview Extension and Commissioners EA,950.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,950.00,14,Toronto-Danforth,Service Improvement and Enhancement 
Transportation Services,F. G. Gardiner Rehabilitation Program, Program Management,11550.00,11550.00, -   , -   , -   , -   , -   , -   , -   , -   ,23100.00,CW,City Wide,State of Good Repair 
Transportation Services,F. G. Gardiner Rehabilitation Program,2018 - 2026 FGG AFP Plan B EX20.14,135490.00,63510.00, -   ,122170.00, -   , -   , -   , -   , -   , -   ,321170.00,CW,City Wide,State of Good Repair 
Transportation Services,F. G. Gardiner Rehabilitation Program,2021 Adjustment Commitments,34908.00,60938.00,215992.00,170877.00, -   , -   , -   , -   , -   , -   ,482715.00,CW,City Wide,State of Good Repair 
Transportation Services,F. G. Gardiner Rehabilitation Program,2021 Adjustment Commitments (2), -   , -   , -   , -   ,437175.00,386197.00,305274.00,111882.00,85000.00, -   ,1325528.00,CW,City Wide,State of Good Repair 
Transportation Services,F. G. Gardiner Rehabilitation Program,2021 Final Year end Adjustment,-2467.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-2467.00,CW,City Wide,State of Good Repair 
Transportation Services,F. G. Gardiner Rehabilitation Program,2022 Commitment Adjustment,-130780.00,7513.00,-7604.00,-99547.00, -   , -   , -   , -   , -   , -   ,-230418.00,CW,City Wide,State of Good Repair 
Transportation Services,F.G. Gardiner - Critical Repairs, 2018 F.Gardiner Adjust Cash Flow,3500.00,3500.00,3500.00, -   , -   , -   , -   , -   , -   , -   ,10500.00,CW,City Wide,State of Good Repair 
Transportation Services,F.G. Gardiner - Critical Repairs,2022 Commitment Adjustment,1500.00,1500.00,1500.00,5000.00, -   , -   , -   , -   , -   , -   ,9500.00,CW,City Wide,State of Good Repair 
Transportation Services,Facility Improvements, 2020 Adjustment Commitments, -   ,1859.00, -   , -   , -   , -   , -   , -   , -   , -   ,1859.00,CW,City Wide,State of Good Repair 
Transportation Services,Facility Improvements,2021 Adjustment Commitments ,3344.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3344.00,CW,City Wide,State of Good Repair 
Transportation Services,Facility Improvements,2022 Adjustment Commitments ,-2344.00,2344.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Transportation Services,Glen Road Pedestrian Bridge, 2020 Adjustment Commitments,3800.00,4708.00, -   , -   , -   , -   , -   , -   , -   , -   ,8508.00,11,University-Rosedale,Health and Safety 
Transportation Services,Glen Road Pedestrian Bridge, 2021 Adjustment Commitments, -   ,378.00, -   ,2000.00, -   , -   , -   , -   , -   , -   ,2378.00,11,University-Rosedale,Health and Safety 
Transportation Services,Glen Road Pedestrian Bridge, 2022 Adjustment Commitments, -   ,4372.00, -   ,200.00, -   , -   , -   , -   , -   , -   ,4572.00,11,University-Rosedale,Health and Safety 
Transportation Services,Glen Road Pedestrian Bridge,2018 Glen Road Ped Bridge Increase, -   ,42.00, -   , -   , -   , -   , -   , -   , -   , -   ,42.00,11,University-Rosedale,Health and Safety 
Transportation Services,GO Transit Expansion City Share,2019 RER Steeles/Kennedy, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22,Scarborough-Agincourt,Growth Related 
Transportation Services,GO Transit Expansion City Share,2021 Adjustment Commitments, -   ,22000.00, -   , -   , -   , -   , -   , -   , -   , -   ,22000.00,CW,City Wide,Growth Related 
Transportation Services,GO Transit Expansion City Share,2022 Commitment Adjustment, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Growth Related 
Transportation Services,Guide Rail Program ,2021 Adjustment Commitment ,800.00,1100.00, -   , -   , -   , -   , -   , -   , -   , -   ,1900.00,CW,City Wide,Health and Safety 
Transportation Services,Guide Rail Program ,2022 Adjustment Commitment , -   , -   ,1000.00, -   , -   , -   , -   , -   , -   , -   ,1000.00,CW,City Wide,Health and Safety 
Transportation Services,Housing Now Site,Propperty Acuqisition  , -   ,1200.00, -   , -   , -   , -   , -   , -   , -   , -   ,1200.00,16,Don Valley East,Service Improvement and Enhancement 
Transportation Services,IT EWMS Improvement,2021 Adjustment Commitments,-4062.00,-1383.00,-340.00,-340.00, -   , -   , -   , -   , -   , -   ,-6125.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,IT EWMS Improvement,IT EWMS Improvement,4062.00,1383.00,340.00,340.00, -   , -   , -   , -   , -   , -   ,6125.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,John Street Revitalization Project,2019 Adjustment - Phase 1b Cash Flows + Utility Re, -   ,24230.00, -   , -   , -   , -   , -   , -   , -   , -   ,24230.00,10,Spadina-Fort York,Growth Related 
Transportation Services,John Street Revitalization Project,2020 Adjustment Commitments , -   ,13923.00,13927.00, -   , -   , -   , -   , -   , -   , -   ,27850.00,10,Spadina-Fort York,Growth Related 
Transportation Services,John Street Revitalization Project,2021 Adjustment Commitments , -   ,-16168.00,-2094.00,12500.00, -   , -   , -   , -   , -   , -   ,-5762.00,10,Spadina-Fort York,Growth Related 
Transportation Services,John Street Revitalization Project,2022 Commitment Adjustment, -   , -   , -   ,1400.00, -   , -   , -   , -   , -   , -   ,1400.00,10,Spadina-Fort York,Growth Related 
Transportation Services,King Liberty Cycling Pedestrian Bridge,2019 Adjustment Commitments, -   ,800.00, -   , -   , -   , -   , -   , -   , -   , -   ,800.00,15,Don Valley West,Growth Related 
Transportation Services,King Liberty Cycling Pedestrian Bridge,2021 Final Year end Adjustment, -   ,433.00, -   , -   , -   , -   , -   , -   , -   , -   ,433.00,15,Don Valley West,Growth Related 
Transportation Services,King Liberty Cycling Pedestrian Bridge,2022 Commitment Adjustment, -   ,400.00, -   , -   , -   , -   , -   , -   , -   , -   ,400.00,15,Don Valley West,Growth Related 
Transportation Services,King Street Transit Priority Corridor, 2020 Adjustment Plan, -   , -   ,360.00, -   , -   , -   , -   , -   , -   , -   ,360.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,King Street Transit Priority Corridor,2020 Adjustment Commitments, -   ,1360.00, -   , -   , -   , -   , -   , -   , -   , -   ,1360.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Laneways ,2017 Recast Capital Budget,82.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,82.00,CW,City Wide,State of Good Repair 
Transportation Services,Laneways ,2018 Laneways Cash Flow for 2023 to 2027, -   , -   , -   , -   , -   ,2027.00,2062.00,2103.00,1445.00,1474.00,9111.00,CW,City Wide,State of Good Repair 
Transportation Services,Laneways ,2020 Adjustment Commitments , -   ,1910.00,1239.00, -   , -   , -   , -   , -   , -   , -   ,3149.00,CW,City Wide,State of Good Repair 
Transportation Services,Laneways ,2021 Adjustment Commitments , -   , -   ,700.00,1968.00, -   , -   , -   , -   , -   , -   ,2668.00,CW,City Wide,State of Good Repair 
Transportation Services,Laneways ,2022 Adjustment Commitments , -   , -   , -   , -   ,1998.00, -   , -   , -   , -   , -   ,1998.00,CW,City Wide,State of Good Repair 
Transportation Services,Laneways ,Laneways 2016 & Future,1800.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1800.00,CW,City Wide,State of Good Repair 
Transportation Services,LARP P1 (Lawrence-Allen Revitalization Project),2018 Adjustment New Cashflow 2021 to 2023 ,2600.00,1113.00, -   , -   , -   , -   , -   , -   , -   , -   ,3713.00,8,Eglinton-Lawrence,Growth Related 
Transportation Services,LARP P1 (Lawrence-Allen Revitalization Project),2021 Final Year end Adjustment,1576.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1576.00,8,Eglinton-Lawrence,Growth Related 
Transportation Services,LARP P1 (Lawrence-Allen Revitalization Project),2022 Commitment Adjustment,-3026.00,1007.00,3459.00, -   , -   , -   , -   , -   , -   , -   ,1440.00,8,Eglinton-Lawrence,Growth Related 
Transportation Services,LARP P2 (Lawrence-Allen Revitalization Project),2022 Submision,125.00,500.00,625.00,1100.00,1100.00, -   , -   , -   , -   , -   ,3450.00,8,Eglinton-Lawrence,Growth Related 
Transportation Services,LARP P3 (Lawrence-Allen Revitalization Project),2022 Submision, -   , -   , -   , -   , -   , -   , -   ,1500.00,3000.00,4500.00,9000.00,8,Eglinton-Lawrence,Growth Related 
Transportation Services,LED Signal Module Conversion , 2020 Adjustment Commitments,3100.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3100.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,LED Signal Module Conversion , 2021 Adjustment Commitments,-1166.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-1166.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,LED Signal Module Conversion ,2022 Commitment Adjustment,-1934.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-1934.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Legion Road Extension & Grade Separation, 2020 Adjustment Commitments ,-11201.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-11201.00,3,Etobicoke-Lakeshore,Growth Related 
Transportation Services,Legion Road Extension & Grade Separation,2018 Adjust Cash Flow for 2018 to 2023,11201.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11201.00,3,Etobicoke-Lakeshore,Growth Related 
Transportation Services,Legion Road Extension & Grade Separation,2021 Adjustment Commitments ,775.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,775.00,6,York Centre ,Growth Related 
Transportation Services,Legion Road Extension & Grade Separation,2022 Commitment Adjustment, -   ,2800.00, -   , -   , -   , -   , -   , -   , -   , -   ,2800.00,6,York Centre ,Growth Related 
Transportation Services,Liberty Village New Street Project,2020 Property and Detailed Design ,11250.00,11250.00,11250.00,11250.00, -   , -   , -   , -   , -   , -   ,45000.00,10,Spadina-Fort York,Growth Related 
Transportation Services,Liberty Village New Street Project,2022 Commitment Adjustment,-11250.00,11250.00, -   ,3701.00,13351.00,13351.00, -   , -   , -   , -   ,30403.00,10,Spadina-Fort York,Growth Related 
Transportation Services,Local Road Rehabilitation, 2018 Adjust - TAMS System ,900.00,700.00,500.00,500.00,550.00,550.00, -   , -   , -   , -   ,3700.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2017 Recast Capital Budget,553.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,553.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2020 Adjustment Commitments,-16703.00,42269.00,7829.00, -   , -   , -   , -   , -   , -   , -   ,33395.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2021 Adjustment Commitments,10000.00, -   ,35000.00,43195.00, -   , -   , -   , -   , -   , -   ,88195.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2021 Final Year end Adjustment,-20612.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-20612.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2022 Commitment Adjustment,23390.00,11634.00,10466.00, -   ,43519.00, -   , -   , -   , -   , -   ,89009.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,2023 to 2028 LRR Cash Flow , -   , -   , -   , -   , -   ,44526.00,64441.00,65730.00,67045.00,68386.00,310128.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,LRR 2017 to 2022,72472.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,72472.00,CW,City Wide,State of Good Repair 
Transportation Services,Local Road Rehabilitation,LRR Commitments for 2023 to 2027, -   ,15397.00,16205.00,17029.00,17870.00,18102.00, -   , -   , -   , -   ,84603.00,CW,City Wide,State of Good Repair 
Transportation Services,Lower Yonge,2021 Adjustment Commitments (Detail Design),3000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3000.00,10,Spadina-Fort York,Growth Related 
Transportation Services,Lower Yonge,2022 Commitment Adjustment,-3000.00,3000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,Spadina-Fort York,Growth Related 
Transportation Services,Major Pooled Contingency, 2020 Adjustment Commitments, -   , -   , -   ,2772.00,2772.00,2772.00, -   , -   , -   , -   ,8316.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency, 2021 Adjustment Commitments, -   , -   , -   , -   , -   , -   ,3800.00, -   , -   , -   ,3800.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency, 2022 Adjustment Commitments,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,5000.00,5000.00,5000.00,23400.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency,2015 Bridge Lanes Walks Roads 2017 to 2022 ,4533.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4533.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency,2017 Recast Capital Budget,-733.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-733.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency,2019 Adjustment Commitments, -   ,2755.00,2772.00, -   , -   , -   , -   , -   , -   , -   ,5527.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Pooled Contingency,2023 - 2027 Bridges Walks Lanes Roads , -   ,1045.00,1028.00,1028.00,1028.00,1028.00, -   , -   , -   , -   ,5157.00,CW,City Wide,State of Good Repair 
Transportation Services,Major Road Rehabilitation, 2019 Adjustment Commitments,3242.00,55653.00, -   , -   , -   , -   , -   , -   , -   , -   ,58895.00,CW,City Wide,State of Good Repair 
